entity_id	text	label
102	Reverse Engineering Databases for Knowledge Discovery.	1
103	Discovering Generalized Episodes Using Minimal Occurrences.	1
104	Multiple Uses of Frequent Sets and Condensed Representations (Extended Abstract).	1
105	A Comparison of Approaches for Maximizing Business Payoff of Prediction Models.	1
106	The Field Matching Problem: Algorithms and Applications.	1
107	Rethinking the Learning of Belief Network Probabilities.	1
108	Pattern Discovery in Temporal Databases: A Temporal Logic Approach.	1
109	Parallel Halo Finding in N-Body Cosmology Simulations.	1
110	Performing Effective Feature Selection by Investigating the Deep Structure of the Data.	1
111	Data Mining and Model Simplicity: A Case Study in Diagnosis.	1
112	SE-Trees Outperform Decision Trees in Noisy Domains.	1
113	Deriving Queries from Results Using Genetic Programming.	1
114	Learning Limited Dependence Bayesian Classifiers.	1
115	Discovering Classification Knowledge in Databases Using Rough Sets.	1
116	Scalable Exploratory Data Mining of Distributed Geoscientific Data.	1
117	Metapattern Generation for Integrated Data Mining.	1
118	Clustering Using Monte Carlo Cross-Validation.	1
119	Harnessing Graphical Structure in Markov Chain Monte Carlo Learning.	1
120	Quakefinder: A Scalable Data Mining System for Detecting Earthquakes from Space.	1
121	Exceptional Knowledge Discovery in Databases Based on Information Theory.	1
122	Undiscovered Public Knowledge: A Ten-Year Update.	1
123	Interactive Knowledge Discovery from Marketing Questionnaire Using Simulated Breeding and Inductive Learning Methods.	1
124	Automated Discovery of Medical Expert System Rules from Clinical Databases Based on Rough Sets.	1
125	Efficient Implementation of Data Cubes Via Materialized Views.	1
126	RITIO - Rule Induction Two In One.	1
127	Automated Discovery of Active Motifs in Multiple RNA Secondary Structures.	1
128	Representing Discovered Patterns Using Attributed Hypergraph.	1
129	Detecting Early Indicator Cars in an Automotive Database: A Multi-Strategy Approach.	1
130	Extensibility in Data Mining Systems.	1
131	Automated Pattern Mining with a Scale Dimension.	1
132	"Proceedings of the Second International Conference on Knowledge Discovery and Data Mining (KDD-96), Portland, Oregon, USA"	1
133	Discovery of Actionable Patterns in Databases: The Action Hierarchy Approach.	1
134	Brute-Force Mining of High-Confidence Classification Rules.	1
135	Applying Data Mining and Machine Learning Techniques to Submarine Intelligence Analysis.	1
136	Partial Classification Using Association Rules.	1
137	Increasing the Efficiency of Data Mining Algorithms with Breadth-First Marker Propagation.	1
138	Process-Based Database Support for the Early Indicator Method.	1
139	MineSet: An Integrated System for Data Mining.	1
140	Zeta: A Global Method for Discretization of Continuous Variables.	1
141	Proposal and Empirical Comparison of a Parallelizable Distance-Based Discretization Method.	1
142	Mining Multivariate Time-Series Sensor Data to Discover Behavior Envelopes.	1
143	Large Scale Data Mining: Challenges and Responses.	1
144	An Interactive Visualization Environment for Data Exploration.	1
145	Why Does Bagging Work? A Bayesian Account and its Implications.	1
146	Using Artificial Intelligence Planning to Automate Science Data Analysis for Large Image Databases.	1
147	Fast Committee Machines for Regression and Classification.	1
148	Improving Scalability in a Scientific Discovery System by Exploiting Parallelism.	1
149	A Guided Tour through the Data Mining Jungle.	1
150	Density-Connected Sets and their Application for Trend Detection in Spatial Databases.	1
151	Maximal Association Rules: A New Tool for Mining for Keyword Co-Occurrences in Document Collections.	1
152	Visualization Techniques to Explore Data Mining Results for Document Collections.	1
153	Deep Knowledge Discovery from Natural Language Texts.	1
154	Integrating and Mining Distributed Customer Databases.	1
155	GA-Based Rule Enhancement in Concept Learning.	1
156	Target-Independent Mining for Scientific Data: Capturing Transients and Trends for Phenomena Mining.	1
157	From Large to Huge: A Statistician's Reactions to KDD & DM.	1
158	Adjusting for Multiple Comparisons in Decision Tree Pruning.	1
159	SIPping from the Data Firehose.	1
160	Mining Generalized Term Associations: Count Propagation Algorithm.	1
161	Metarule-Guided Mining of Multi-Dimensional Association Rules Using Data Cubes.	1
162	"Scalable, Distributed Data Mining - An Agent Architecture."	1
163	A Probabilistic Approach to Fast Pattern Matching in Time Series Databases.	1
164	Clustering Sequences of Complex Objects.	1
165	A Unified Notion of Outliers: Properties and Computation.	1
166	Mining for Causes of Cancer: Machine Learning Experiments at Various Levels of Detail.	1
167	Discovering Trends in Text Databases.	1
168	Using General Impressions to Analyze Discovered Classification Rules.	1
169	Fast Robust Visual Data Mining.	1
170	Development of Multi-Criteria Metrics for Evaluation of Data Mining Algorithms.	1
171	Beyond Concise and Colorful: Learning Intelligible Rules.	1
172	Discriminative vs Informative Learning.	1
173	Analysis and Visualization of Classifier Performance: Comparison under Imprecise Class and Cost Distributions.	1
174	Scaling Up Inductive Algorithms: An Overview.	1
175	Knowledge Discovery in Integrated Call Centers: A Framework for Effective Customer-Driven Marketing.	1
176	Visualizing Bagged Decision Trees.	1
177	KESO: Minimizing Database Interaction.	1
178	Detecting Atmospheric Regimes Using Cross-Validated Clustering.	1
179	Anytime Exploratory Data Analysis for Massive Data Sets.	1
180	Learning to Extract Text-Based Information from the World Wide Web.	1
181	Mining Association Rules with Item Constraints.	1
182	JAM: Java Agents for Meta-Learning over Distributed Databases.	1
183	Image Feature Reduction through Spoiling: Its Application to Multiple Matched Filters for Focus of Attention.	1
184	A Visual Interactive Framework for Attribute Discretization.	1
185	Autonomous Discovery of Reliable Exception Rules.	1
186	An Efficient Algorithm for the Incremental Updation of Association Rules in Large Databases.	1
187	Bayesian Inference for Identifying Solar Active Regions.	1
188	Schema Discovery for Semistructured Data.	1
189	Selecting Features by Vertical Compactness of Data.	1
190	Automated Discovery of Active Motifs in Three Dimensional Molecules.	1
191	Fast and Intuitive Clustering of Web Documents.	1
192	KDD Process Planning.	1
193	Optimal Multiple Intervals Discretization of Continuous Attributes for Supervised Learning.	1
194	A Dataset Decomposition Approach to Data Mining and Machine Discovery.	1
195	Knowledge = Concepts: A Harmful Equation.	1
196	Computing Optimized Rectilinear Regions for Association Rules.	1
197	New Algorithms for Fast Discovery of Association Rules.	1
198	"Proceedings of the Third International Conference on Knowledge Discovery and Data Mining (KDD-97), Newport Beach, California, USA, August 14-17, 1997"	1
199	Discovery of Health Risks and Case-Based Forecasting of Epidemics in a Health Surveillance System.	1
200	Data Mining in the Telecommunications Industry (Abstract).	1
201	Mining in the Phrasal Frontier.	1
202	Share Based Measures for Itemsets.	1
203	A New and Versatile Method for Association Generation.	1
204	Using Signature Files for Querying Time-Series Data.	1
205	Interactive Interpretation of Hierarchical Clustering.	1
206	Recognizing Reliability of Discovered Knowledge.	1
207	Bivariate Decision Trees.	1
208	Mining Time Series Using Rough Sets - A Case Study.	1
209	Finding Similar Time Series.	1
210	Efficient Multisplitting on Numerical Data.	1
211	Pattern Based Browsing in Document Collections.	1
212	Knowledge Discovery - A Control Theory Perspective.	1
213	The Pronciple of Transformation between Efficiency and Effectiveness: Towards a Fair Evaluation of the Cost-Effectiveness of KDD Techniques.	1
214	Parallel Knowledge Discovery Using Domain Generalization Graphs.	1
215	Finding Spatial Clusters.	1
216	A Tutorial Introduction to High Performance Data Mining (Abstract).	1
217	Regression-Based Classification Methods and Their Comparisons with Desision Tree Algorithms.	1
218	techniques and Applications of KDD (Abstract).	1
219	Exploration of Document Collections with Self-Organizing Maps: A Novel Approach to Similarity Representation.	1
220	Rough Sets for Data Mining and Knowledge Discovery (Abstract).	1
221	Modelling Customer Retention with Rough Data Models.	1
222	Algorithms for Constructing of Decision Trees.	1
223	Clustering Techniques in Biological Sequence Analysis.	1
224	Generation of Rules from Incomplete Information Systems.	1
225	Searching for Relational Patterns in Data.	1
226	Rough Set Theory and Rule Induction Techniques for Discovery of Attribute Dependencies in Medical Information Systems.	1
227	Induction of Strong Feature Subsets.	1
228	Induction of Fuzzy Characteristic Rules.	1
229	Logical Calculi for Knowledge Discovery in Databases.	1
230	Knowledge Discovery from Software Engineering Data: Rough Set Analysis and Its Interaction with Goal-Oriented Measurement.	1
231	Extraction of Experts' Decision Process from Clinical Databases Using Rough Set Model.	1
232	"A Connectionist Approach to Structural Simiarity Determination as a Basis of Clustering, Classification and Feature Detection."	1
233	Neural Networks Design: Rough Set Approach to Continuous Data.	1
234	SNOUT: An Intelligent Assistant for Exploratory Data Anaylsis.	1
235	Exploratory Analysis of Biochemical Processes Using Hybrid Modeling Methods.	1
236	TOAS Intelligence Mining; Analysis of Natural Language Processing and Computational Linguistics.	1
237	Attribute Discovery and Rough Sets.	1
238	Towards Process-Oriented Tool Support for Knowledge Discovery in Databases.	1
239	An Algorithm for Multi-relational Discovery of Subgroups.	1
240	On Meta Levels of an Organized Society of KDD Agents.	1
241	Using Neural Network to Extract Knowledge from Database.	1
242	"Principles of Data Mining and Knowledge Discovery, First European Symposium, PKDD '97, Trondheim, Norway, June 24-27, 1997, Proceedings"	1
243	ADtrees for Fast Counting and for Fast Learning of Association Rules.	1
244	Mining Association Rules in Hypertext Databases.	1
245	Online Generation of Profile Association Rules.	1
246	Independence Diagrams: A Technique for Visual Data Mining.	1
247	CLOUDS: A Decision Tree Classifier for Large Datasets.	1
248	Direct Marketing Response Models Using Genetic Algorithms.	1
249	Scaling Clustering Algorithms to Large Databases.	1
250	Joins that Generalize: Text Classification Using WHIRL.	1
251	Giga-Mining.	1
252	Rule Discovery from Time Series.	1
253	Similarity of Attributes by External Probes.	1
254	Blurring the Distinction between Command and Data in Scientific KDD.	1
255	Probabilistic Modeling for Information Retrieval with Unsupervised Training Data.	1
256	Interactive Interpretation of Kohonen Maps Applied to Curves.	1
257	Finding Frequent Substructures in Chemical Compounds.	1
258	Toward Scalable Learning with Non-Uniform Class and Cost Distributions: A Case Study in Credit Card Fraud Detection.	1
259	Occam's Two Razors: The Sharp and the Blunt.	1
260	FlexiMine - A Flexible Platform for KDD Research and Application Construction.	1
261	A Fast Computer Intrusion Detection Algorithm Based on Hypothesis Testing of Command Transition Probabilities.	1
262	Algorithms for Characterization and Trend Detection in Spatial Databases.	1
263	Knowledge Discovery and the Interface of Computing and Statistics.	1
264	On the Efficient Gathering of Sufficient Statistics for Classification from Large SQL Databases.	1
265	Initialization of Iterative Refinement Clustering Algorithms.	1
266	Coactive Learning for Distributed Data Mining.	1
267	Mining in the Presence of Selectivity Bias and its Application to Reject Inference.	1
268	Pattern Directed Mining of Sequence Data.	1
269	Mining Segment-Wise Periodic Patterns in Time-Related Databases.	1
270	Learning to Predict the Duration of an Automobile Trip.	1
271	An Efficient Approach to Clustering in Large Multimedia Databases with Noise.	1
272	Comparing Massive High-Dimensional Data Sets.	1
273	Fast Computation of 2-Dimensional Depth Contours.	1
274	Defining the Goals to Optimise Data Mining Performance.	1
275	"An Enhanced Representation of Time Series Which Allows Fast and Accurate Classification, Clustering and Relevance Feedback."	1
276	Active Templates: Comprehensive Support for the Knowledge Discovery Process.	1
277	Targeting Business Users with Decision Table Classifiers.	1
278	BAYDA: Software for Bayesian Classification and Feature Selection.	1
279	Approaches to Online Learning and Concept Drift for User Identification in Computer Security.	1
280	Mining Audit Data to Build Intrusion Detection Models.	1
281	Data Mining for Direct Marketing: Problems and Solutions.	1
282	Integrating Classification and Association Rule Mining.	1
283	Human Performance on Clustering Web Pages: A Preliminary Study.	1
284	Aggregation of Imprecise and Uncertain Information for Knowledge Discovery in Databases.	1
285	Discovering Predictive Association Rules.	1
286	Reinforcement Learning for Trading Systems and Portfolios.	1
287	Group Bitmap Index: A Structure for Association Rules Retrieval.	1
288	Towards the Personalization of Algorithms Evaluation in Data Mining.	1
289	Evaluating Usefulness for Dynamic Classification.	1
290	Large Datasets Lead to Overly Complex Models: An Explanation and a Solution.	1
291	Analysing Rock Samples for the Mars Lander.	1
292	A Belief-Driven Method for Discovering Unexpected Patterns.	1
293	Memory Placement Techniques for Parallel Association Mining.	1
294	Interpretable Boosted Naïve Bayes Classification.	1
295	Methods for Linking and Mining Massive Heterogeneous Databases.	1
296	Ranking - Methods for Flexible Evaluation and Efficient Comparison of Classification Performance.	1
297	Time Series Forecasting from High-Dimensional Data with Multiple Adaptive Layers.	1
298	A Robust System Architecture for Mining Semi-Structured Data.	1
299	A Data Mining Support Environment and its Application on Insurance Data.	1
300	Coincidence Detection: A Fast Method for Discovering Higher-Order Correlations in Multidimensional Data.	1
301	Mining Databases with Different Schemas: Integrating Incompatible Classifiers.	1
302	Defining as a Data Mining Primitive.	1
303	Simultaneous Reliability Evaluation of Generality and Accuracy for Rule Discovery in Databases.	1
304	Mining Generalized Association Rules and Sequential Patterns Using SQL Queries.	1
305	Data Reduction Based on Hyper Relations.	1
306	Interestingness-Based Interval Merger for Numeric Association Rules.	1
307	Discovering Technical Traders in the T-bond Futures Market.	1
308	Learning to Predict Rare Events in Event Sequences.	1
309	Daily Prediction of Major Stock Indices from Textual WWW Data.	1
310	PlanMine: Sequence Mining for Plan Failures.	1
311	"Proceedings of the Fourth International Conference on Knowledge Discovery and Data Mining (KDD-98), New York City, New York, USA, August 27-31, 1998"	1
312	A Comparison of Batch and Incremental Supervised Learning Algorithms.	1
313	Interactive Visualization for Predictive Modelling with Decision Tree Induction.	1
314	Extended Functional Dependencies as a Basis for Linguistic Summaries.	1
315	Overcoming Fragmentation in Decision Trees Through Attribute Value Grouping.	1
316	Knowledge Discovery with Qualitative Influences and Synergies.	1
317	Discretization and Grouping: Preprocessing Steps for Data Mining.	1
318	Language Support for Temporal Data Mining.	1
319	Fuzzy Spatial OQL for Fuzzy Knowledge Discovery in Databases.	1
320	Object Mining: A Practical Application of Data Mining for the Construction and Maintenance of Software Components.	1
321	Ranked Rules and Data Visualization.	1
322	Resampling in an Indefinite Database to Approximate Functional Dependencies.	1
323	Querying Inductive Databases: A Case Study on the MINE RULE Operator.	1
324	A Hybrid Approach to Feature Selection.	1
325	Knowledge Discovery from Client-Server Databases.	1
326	Cost Sensitive Discretization of Numeric Attributes.	1
327	Postponing the Evaluation of Attributes with a High Number of Boundary Points.	1
328	Practical Text Mining.	1
329	Trend Graphs: Visualizing the Evolution of Concept Relationships in Large Document Collections.	1
330	Text Mining at the Term Level.	1
331	A New Algorithm for Faster Mining of Generalized Association Rules.	1
332	Discovery of Common Subsequences in Cognitive Evoked Potentials.	1
333	On Objective Measures of Rule Surprisingness.	1
334	"Scalable, High-Performance Data Mining with Parallel Processing."	1
335	A Metric for Selection of the Most Promising Rules.	1
336	Data Mining at a Major Bank: Lessons from a Large Marketing Application.	1
337	Knowledge Discovery with Clustering Based on Rules. Interpreting Results.	1
338	Improving the Discovery of Association Rules with Intensity of Implication.	1
339	Generalization Lattices.	1
340	Model Switching for Bayesian Classification Trees with Soft Splits.	1
341	The PSP Approach for Mining Sequential Patterns.	1
342	PolyAnalyst Data Analysis Technique and Its Specialization for Processing Data Organized as a Set of Attribute Values.	1
343	Exploratory Attributes Search for Time-Series Data: An Experimental System for Agricultural Application.	1
344	A Procedure to Compute Prototypes for Data Mining in Non-structured Domains.	1
345	From the Data Mine to the Knowledge Mill: Applying the Principles of Lexical Analysis to the Data Mining and Knowledge Discovery Process.	1
346	Using Loglinear Clustering for Subcategorization Identification.	1
347	Representative Association Rules and Minimum Condition Maximum Consequence Association Rules.	1
348	Discovery of Decision Rules from Databases: An Evolutionary Approach.	1
349	A Relational Data Mining Tool Based On Genetic Programming.	1
350	TextVis: An Integrated Visual Environment for Text Mining.	1
351	Industrial Applications of Data Mining.	1
352	Discovery of Diagnostic Patterns from Protein Sequence Databases.	1
353	Detection of Interdependences in Attribute Selection.	1
354	For Visualization-Based Analysis Tools in Knowledge Discovery Process: A Multilayer Perceptron versus Principal Components Analysis: A Comparative Study.	1
355	Data Transformation and Rough Sets.	1
356	Knowledge Discovery in Spatial Data by Means of ILP.	1
357	Conceptual Knowledge Discovery in Databases Using Formal Concept Analysis Methods.	1
358	Preprocessing of Missing Values Using Robust Association Rules.	1
359	Discovery of Surprising Exception Rules Based on Intensity of Implication.	1
360	Efficient Construction of Comprehensible Hierarchical Clusterings.	1
361	Classes of Four-Fold Table Quantifiers.	1
362	Similarity-Driven Sampling for Data Mining.	1
363	Inducing Cost-Sensitive Trees via Instance Weighting.	1
364	CLASITEX: A Tool for Knowledge Discovery from Texts.	1
365	Modeling the Business Process by Mining Multiple Databases.	1
366	Discovery of Approximate Medical Knowledge Based on Rough Set Model.	1
367	Handling KDD Process Changes by Incremental Replanning.	1
368	"Principles of Data Mining and Knowledge Discovery, Second European Symposium, PKDD '98, Nantes, France, September 23-26, 1998, Proceedings"	1
369	Visual Classification: An Interactive Approach to Decision Tree Construction.	1
370	A Statistical Theory for Quantitative Association Rules.	1
371	An Efficient Algorithm to Update Large Itemsets with Early Pruning.	1
372	A Classification-Based Methodology for Planning Audit Strategies in Fraud Detection.	1
373	User Profiling in Personalization Applications Through Rule Discovery and Validation.	1
374	Using Approximations to Scale Exploratory Data Analysis in Datacubes.	1
375	Detecting Change in Categorical Data: Mining Contrast Sets.	1
376	Mining the Most Interesting Rules.	1
377	On the Merits of Building Categorization Systems by Supervised Clustering.	1
378	Horting Hatches an Egg: A New Graph-Theoretic Approach to Collaborative Filtering.	1
379	Density-Based Indexing for Approximate Nearest-Neighbor Queries.	1
380	"Data Mining: Crossing the Chasm (Invited talk, Abstract only)."	1
381	NonStop SQL/MX Primitives for Knowledge Discovery.	1
382	Using Association Rules for Product Assortment Decisions: A Case Study.	1
383	Mining Optimized Gain Rules for Numeric Attributes.	1
384	Information Mining Platforms: An Infrastructure for KDD Rapid Deployment.	1
385	Towards Automated Synthesis of Data Mining Programs.	1
386	Applying General Bayesian Techniques to Improve TAN Induction.	1
387	Bayesian Networks for Lossless Dataset Compression.	1
388	The PanQ Tool and EMF SQL for Complex Data Management.	1
389	Entropy-based Subspace Clustering for Mining Numerical Data.	1
390	MetaCost: A General Method for Making Classifiers Cost-Sensitive.	1
391	Efficient Mining of Emerging Patterns: Discovering Trends and Differences.	1
392	Text Mining: Finding Nuggets in Mountains of Textual Data.	1
393	Squashing Flat Files Flatter.	1
394	Trajectory Clustering with Mixtures of Regression Models.	1
395	CACTUS - Clustering Categorical Data Using Summaries.	1
396	"The Application of AdaBoost for Distributed, Scalable and On-Line Learning."	1
397	Activity Monitoring: Noticing Interesting Changes in Behavior.	1
398	Event Detection from Time Series Data.	1
399	"Farming the Web for Systematic Business Intelligence (Invited talk, Abstract only)."	1
400	"WAPS, a Data Mining Support Environment for the Planning of Warranty and Goodwill Costs in the Automobile Industry."	1
401	Adaptive Query Processing for Time-Series Data.	1
402	Optimization of Collection Efforts in Automobile Financing - a KDD Supported Environment.	1
403	The Impact of Changing Populations on Classifier Performance.	1
404	Fast and Effective Text Mining Using Linear-Time Document Clustering.	1
405	Mining in a Data-Flow Environment: Experience in Network Intrusion Detection.	1
406	Mining Features for Sequence Classification.	1
407	Pruning and Summarizing the Discovered Associations.	1
408	Mining Association Rules with Multiple Minimum Supports.	1
409	Mining Interesting Knowledge Using DM-II.	1
410	Origami: A New Data Visualization Tool.	1
411	Mining Lesion-Deficit Associations in a Brain Image Database.	1
412	Statistics and Data Mining Techniques for Lifetime Value Modeling.	1
413	Prediction with Local Patterns using Cross-Entropy.	1
414	Extending Naïve Bayes Classifiers Using Long Itemsets.	1
415	Using a Knowledge Cache for Interactive Discovery of Association Rules.	1
416	Identifying Distinctive Subsequences in Multivariate Time Series by Clustering.	1
417	Accelerating Exact -means Algorithms with Geometric Reasoning.	1
418	Estimating Campaign Benefits and Modeling Lift.	1
419	Discovery of Fraud Rules for Telecommunications - Challenges and Solutions.	1
420	Generalized Additive Neural Networks.	1
421	"2001: A Statistical Odyssey (Invited talk, Abstract only)."	1
422	Efficient Progressive Sampling.	1
423	Interestingness via What is Not Interesting.	1
424	Mining GPS Data to Augment Road Models.	1
425	Compressed Data Cubes for OLAP Aggregate Query Approximation on Continuous Dimensions.	1
426	Monitoring a Newsfeed for Hot Topics.	1
427	A Study of Support Vectors on Model Independent Example Selection.	1
428	Handling Concept Drifts in Incremental Learning with Support Vector Machines.	1
429	Breaking the Barrier of Transactions: Mining Inter-Transaction Association Rules.	1
430	Evaluating a Class of Distance-Mapping Algorithms for Data Mining and Clustering.	1
431	Discovering Roll-Up Dependencies.	1
432	Fast Density Estimation Using CF-Kernel for Very Large Databases.	1
433	"Proceedings of the Fifth ACM SIGKDD International Conference on Knowledge Discovery and Data Mining, San Diego, CA, USA, August 15-18, 1999"	1
434	An Innovative GA-Based Decision Tree Classifier in Large Scale Data Mining.	1
435	Taming Large Rule Models in Rough Set Approaches.	1
436	Selective Propositionalization for Relational Learning.	1
437	Using Genetic Algorithms to Evolve a Rule Hierarchy.	1
438	Circle Graphs: New Visualization Tools for Text-Mining.	1
439	Rough Dependencies as a Particular Case of Correlation: Application to the Calculation of Approximative Reducts.	1
440	Mining Temporal Features in Association Rules.	1
441	Applying Data Mining Techniques to Wafer Manufacturing.	1
442	TopCat: Data Mining for Topic Identification in a Text Corpus.	1
443	The Improvement of Response Modeling: Combining Rule-Induction and Case-Based Reasoning.	1
444	Simultaneous Prediction of Mulriple Chemical Parameters of River Water Quality with TILDE.	1
445	On the Consistency of Information Filters for Lazy Learning Algorithms.	1
446	Analyzing an Email Collection Using Formal Concept Analysis.	1
447	Query Languages for Knowledge Discovery in Databases.	1
448	Bisiness Focused Evaluation Methods: A Case Study.	1
449	OPTICS-OF: Identifying Local Outliers.	1
450	"Taxonomy Formation by Approximate Equivalence Relations, Revisited."	1
451	Speeding Up the Search for Optimal Partitions.	1
452	Combining Data and Knowledge by MaxEnt-Optimization of Probability Distributions.	1
453	Handling Missing Data in Trees: Surrogate Splits or Statistical Imputation.	1
454	Text Mining via Information Extraction.	1
455	A Fuzzy Beam-Search Rule Induction Algorithm.	1
